col_name,data_type,comment
service_director_fullname,string,"This column contains the full name of the service director, providing a complete and formal identification of the senior-level professional overseeing the service strategy for the equipment."
customer_fulfillment_manager,int,"This column stores the identifier of the customer fulfillment manager, who is responsible for ensuring that customer orders and requests are completed and fulfilled in a timely and satisfactory manner."
customer_fulfillment_manager_fullname,string,"This column contains the full name of the customer fulfillment manager, providing a complete and formal identification of the person responsible for managing the fulfillment of customer orders and requests."
contract_type,string,"This column stores the type of contract associated with the equipment, such as a maintenance contract or a service agreement, which outlines the terms and conditions of the support and services provided."
csa_contract_number,string,"This column contains the contract number for the customer service agreement (CSA), which is a unique identifier for the contract that governs the provision of services and support for the equipment."
contract_performance_manager,int,"This column stores the identifier of the contract performance manager, who is responsible for ensuring that the terms and conditions of the contract are met and that the equipment is performing as agreed upon."
contract_performance_manager_fullname,string,"This column contains the full name of the contract performance manager, providing a complete and formal identification of the person responsible for managing the contract performance and ensuring that the equipment meets the agreed-upon standards."
csa_end_date,date,"This column records the end date of the customer service agreement (CSA), marking the conclusion of the contract period and the point at which the agreement is no longer in effect."
outage_manager,int,"This column stores the identifier of the outage manager, who is responsible for managing and coordinating the response to equipment outages, including scheduling repairs and minimizing downtime."
outage_manager_fullname,string,"This column contains the full name of the outage manager, providing a complete and formal identification of the person responsible for managing equipment outages and ensuring that they are resolved efficiently."
csa_start_date,date,"This column records the start date of the customer service agreement (CSA), marking the beginning of the contract period and the point at which the agreement becomes effective."
o_and_m_contract_number,string,"This column contains the contract number for the operations and maintenance (O&M) agreement, which is a unique identifier for the contract that governs the provision of operational and maintenance services for the equipment."
product_sales_manager,string,"This column stores the identifier of the product sales manager, who is responsible for promoting and selling the equipment, as well as managing the sales process and ensuring that customer needs are met."
product_sales_manager_fullname,string,"This column contains the full name of the product sales manager, providing a complete and formal identification of the person responsible for managing the sales of the equipment and ensuring that customer needs are satisfied."
o_and_m_end_date,date,"This column records the end date of the operations and maintenance (O&M) agreement, marking the conclusion of the contract period and the point at which the agreement is no longer in effect."
quality_contact,int,"This column stores the identifier of the quality contact, who is responsible for ensuring that the equipment meets the required quality standards and for addressing any quality-related issues that may arise."
quality_contact_fullname,string,"This column contains the full name of the quality contact, providing a complete and formal identification of the person responsible for ensuring that the equipment meets the required quality standards."
o_and_m_start_date,date,"This column records the start date of the operations and maintenance (O&M) agreement, marking the beginning of the contract period and the point at which the agreement becomes effective."
icam_model_id,string,"This column contains the identifier for the ICAM (Integrated Computer-Aided Manufacturing) model, which is a unique reference to the equipments design and manufacturing specifications."
primary_fuel,string,"The primary fuel type used by the equipment, which is a crucial factor in determining its operational characteristics and maintenance requirements."
secondary_fuel,string,"The secondary fuel type used by the equipment, which provides an alternative or supplemental fuel source and is essential for understanding the equipments overall fuel management and operational flexibility."
matching_status,string,"The status of the equipments matching process, which involves comparing and validating the equipments specifications and configuration against a set of predefined criteria or standards to ensure accuracy and consistency."
oem_flag,string,"A flag indicating whether the equipment is an original equipment manufacturer (OEM) product, which is critical in determining the equipments authenticity, warranty, and support eligibility."
product_line,string,"The specific product line or family to which the equipment belongs, which provides context about the equipments design, features, and target applications."
platform,string,"The platform or base model on which the equipment is built, which influences its technical specifications, performance, and compatibility with other systems or components."
sub_platform,string,"A subset or variant of the platform, which further refines the equipments characteristics, capabilities, and limitations."
record_status,string,"The current status of the equipments record, indicating whether it is active, inactive, or in a state of transition, which affects its visibility, accessibility, and usability in various systems and processes."
ibat_audit_comments,string,"Comments or notes related to the auditing of the installed base (IBAT) equipment, which provides additional context and insights into the equipments history, issues, or concerns."
last_updated_date,timestamp,"The date and time when the equipments record was last updated, which is essential for tracking changes, monitoring data freshness, and ensuring data integrity."
job_run_id,int,"A unique identifier for a job or process that has been executed on the equipment, which helps in tracing the equipments maintenance, repair, or operational history."
plant_sys_id_fk,int,"A foreign key referencing the plant system identifier, which establishes a relationship between the equipment and the plant or facility where it is installed or operated. The plant_sys_id serves as the primary key in the Plant table. In the hierarchy of equipment -> train -> block -> plant, this plant_sys_id_fk can be used as a joining field between the Plant table and Equipment table, the Train table, and the Block table."
block_sys_id_fk,string,"A foreign key referencing the block system identifier, which links the equipment to a specific block or section within the plant or facility.  The block_sys_id serves as the primary key in the Block table. In the hierarchy of equipment -> train -> block -> plant, this block_sys_id_fk can be used as a joining field between the Block table and the Equipment table as well as the Train table."
train_sys_id_fk,string,"A foreign key referencing the train system identifier, which associates the equipment with a particular train or production line. The train_sys_id serves as the primary key in the Train table. In the hierarchy of equipment -> train -> block -> plant, this train_sys_id_fk can be used as a joining field between the Equipment table and the Train table only."
prev_plant_sys_id_fk,int,"A foreign key referencing the previous plant system identifier, which retains a historical record of the equipments previous installation or operational location."
prev_block_sys_id_fk,string,"A foreign key referencing the previous block system identifier, which tracks the equipments previous assignment or allocation to a specific block or section."
prev_train_sys_id_fk,string,"A foreign key referencing the previous train system identifier, which maintains a record of the equipments previous association with a particular train or production line."
merged_to_equipment_sys_id,string,"A foreign key referencing the system identifier of the equipment to which the current equipment has been merged, which facilitates the consolidation of equipment records and simplifies data management."
primary_source,string,"The primary source or origin of the equipments data, which could be a system, process, or entity responsible for providing the initial or most authoritative information about the equipment."
equipment_name,string,"The name or designation of the equipment installation. This is a human‑readable identifier that provides a descriptive label for the equipment and is commonly used for reference, reporting, and communication across systems and business users."
oem_nameplate_number,string,"The original equipment manufacturers (OEM) nameplate number, which is a unique identifier assigned by the manufacturer and provides critical information about the equipments specifications, capacity, and authenticity."
sales_channel,string,"The sales channel or distribution network through which the equipment was sold or marketed. This can influence pricing, support model, and warranty terms."
repairs_sales_manager,int,"The identifier of the sales manager responsible for handling repairs and maintenance services for the equipment, which ensures that the equipment receives timely and effective support."
repairs_sales_manager_fullname,string,"The full name of the sales manager responsible for handling repairs and maintenance services for the equipment, which provides a clear and unambiguous identification of the person accountable for the equipments support."
equipment_strategy,string,"The strategic plan or approach adopted for the equipments maintenance, operation, and optimization, which outlines the long-term goals, objectives, and tactics for maximizing the equipments performance, efficiency, and lifespan."
equipment_latitude,string,"The geographical latitude of the equipments location, which provides precise information about the equipments physical location and enables spatial analysis, tracking, and monitoring."
equipment_longitude,string,"The geographical longitude of the equipments location, which, in conjunction with the latitude, provides a complete and accurate description of the equipments physical location and facilitates mapping, routing, and logistical operations."
manufacturing_location,string,"The location where the equipment was manufactured, which is essential for understanding the equipments origin, quality, and compliance with regulatory standards."
ml_mpl_dl_number,string,"A unique identifier or reference number assigned to the equipments manufacturing, packaging, or distribution process, which helps in tracking the equipments production history, quality control, and supply chain management."
steam_turbine_class,string,"The classification or rating of the steam turbine associated with the equipment, which determines the turbines performance, efficiency, and suitability for specific applications or operating conditions."
exhaust_pressure_drop,string,"This column stores the pressure drop across the exhaust system of the equipment, providing critical information for maintenance and performance optimization."
contract_relationship,string,"This column defines the contractual relationship between the equipment owner and the service provider, outlining the terms and conditions of maintenance and support."
wmf_fsa_flag,string,"This column indicates whether the equipment is covered under a Full Service Agreement (FSA), which provides comprehensive maintenance and support services."
wmf_no_of_turbine_projects,string,"This column stores the number of turbine projects associated with the equipment, allowing for tracking and management of multiple projects."
ips_number,string,"This column stores the IPS (Installation, Production, and Service) number, which uniquely identifies the equipment installation and associated services."
wmf_build_year,string,"This column stores the year the equipment was built, providing information on the equipments age and potential maintenance requirements."
wmf_pole,string,"This column stores information about the pole or tower on which the equipment is installed, including its height and type."
wmf_hub_height,string,"This column stores the height of the equipments hub, which is critical for determining the equipments performance and maintenance requirements."
wmf_rotor_diameter,string,"This column stores the diameter of the equipments rotor, providing essential information for performance optimization and maintenance planning."
main_warranty_start_date,timestamp,"This column stores the start date of the equipments main warranty period, defining the timeframe during which the manufacturer is responsible for repairs and replacements."
main_warranty_end_date,timestamp,"This column stores the end date of the equipments main warranty period, marking the end of the manufacturers responsibility for repairs and replacements."
wmf_service_area,string,This column defines the geographical area in which the equipment is located and will receive service and maintenance.
wmf_cwe_flag,string,"This column indicates whether the equipment is covered under a Customer Warranty Extension (CWE), which provides extended warranty coverage beyond the standard warranty period."
wmf_dte_type,string,"This column stores the type of DTE (Data Transmission Equipment) used with the equipment, providing information on the equipments communication and data transmission capabilities."
wmf_tower_type,string,"This column stores the type of tower or pole on which the equipment is installed, including its material, height, and design specifications."
wmf_first_unit_bom,string,"This column stores the Bill of Materials (BOM) for the first unit of the equipment, providing a detailed list of components and materials used in its construction."
wmf_turbine_in_storage,string,"This column indicates whether the turbine is currently in storage, providing information on the equipments status and availability for operation."
wmf_in_warranty,string,"This column indicates whether the equipment is currently under warranty, providing information on the equipments maintenance and support status."
wmf_om_flag,string,"This column indicates whether the equipment is operated and maintained (OM) by the manufacturer or a third-party service provider, defining the responsibilities for equipment operation and maintenance."
service_office,string,This column stores the location and contact information of the service office responsible for maintaining and supporting the equipment.
wmf_cycle_type,string,"This column stores the type of cycle or operating mode used by the equipment, providing information on the equipments performance characteristics and maintenance requirements."
wmf_no_of_tower,string,"This column stores the number of towers or poles associated with the equipment, allowing for tracking and management of multiple installations."
release_date,timestamp,"This column stores the date on which the equipment was released for operation, marking the beginning of its operational life."
wmf_project_name,string,"This column stores the name of the project associated with the equipment, providing a reference point for tracking and managing equipment installations."
primary_inlet_cond,string,"This column stores the conditions or specifications of the primary inlet of the equipment, providing critical information for performance optimization and maintenance planning."
secondary_inlet_cond,string,"This column stores the conditions or specifications of the secondary inlet of the equipment, providing additional information for performance optimization and maintenance planning."
primary_inlet_heating,string,"This column stores information on the heating system used for the primary inlet of the equipment, providing details on the equipments thermal management and performance characteristics."
secondary_inlet_heating,string,"This column stores information on the heating system used for the secondary inlet of the equipment, providing additional details on the equipments thermal management and performance characteristics."
master_job,string,"This column stores the master job or work order associated with the equipment, providing a reference point for tracking and managing equipment maintenance and repairs."
retirement_date,date,"This column stores the date on which the equipment is scheduled for retirement or decommissioning, marking the end of its operational life."
potential_duplicate_filter,string,"This column is used to flag potential duplicate records in the equipment master table, indicating whether a record is a duplicate or not."
lp_retrofitlastbladesize,string,"This column stores the size of the last blade retrofitted in the low-pressure section of the equipment, providing information on equipment upgrades and modifications."
lp_retrofitorderdate,string,"This column contains the date when the retrofit order was placed for the low-pressure section of the equipment, tracking the timeline of equipment upgrades and maintenance activities."
engine_serial_number_pre_uprate,int,"This column stores the engine serial number before any uprate or modification was made, providing a historical record of the equipments original configuration."
cr_equipment_sequence_id,int,"This column contains a unique sequence identifier for the equipment in the context of a specific customer or project, allowing for organized tracking and management of equipment installations."
equipment_code_other,string,"This column stores an alternative or additional code for the equipment, providing further classification or categorization details beyond the primary equipment code."
rotor_rewind,string,"This column indicates whether the rotor of the equipment has been rewound, which is a significant maintenance or repair activity that can extend the equipments lifespan."
stator_rewind,string,"This column indicates whether the stator of the equipment has been rewound, which is a critical maintenance or repair activity that can affect the equipments performance and longevity."
r_cod_date,date,"This column contains the date related to the removal or decommissioning of the equipment, marking the end of its operational life or a significant event in its maintenance history."
account_manager_fullname,string,"This column stores the full name of the account manager responsible for the equipments sales, service, or customer support, providing contact information for key personnel involved in equipment management."
account_manager_sso,string,"This column contains the Single Sign-On (SSO) identifier for the account manager, which is used for authentication and authorization purposes to access equipment-related information and systems."
i_and_c_project_manager_sso,int,"This column stores the Single Sign-On (SSO) identifier for the Installation and Commissioning (I&C) project manager, who oversees the installation and startup of the equipment."
i_and_c_project_manager_name,string,"This column contains the full name of the Installation and Commissioning (I&C) project manager, providing contact information for the person responsible for managing the equipments installation and commissioning process."
laststageblade_type,string,"This column stores information about the type of blade used in the last stage of the equipment, which can impact the equipments performance, efficiency, and maintenance requirements."
combustion_control,string,"This column contains details about the combustion control system used in the equipment, which is crucial for optimizing fuel efficiency, reducing emissions, and ensuring safe operation."
mbc_install_date,date,"This column stores the date when the Monitoring and Control (MBC) system was installed on the equipment, marking a significant upgrade or modification that enhances operational monitoring and control capabilities."
contract_relationship_value,int,"This column contains a value that represents the type of contractual relationship between the equipment owner and the service provider, which can influence maintenance schedules, support levels, and financial obligations."
contract_type_value,int,"This column stores a value that indicates the specific type of contract under which the equipment is maintained or serviced, such as a maintenance contract, service agreement, or warranty."
equipment_code_value,int,"This column contains a unique code or identifier for the equipment, which is used for categorization, tracking, and management purposes across different systems and databases."
equipment_status_value,int,"This column stores a value that represents the current operational status of the equipment, such as active, inactive, under maintenance, or decommissioned, which is crucial for planning, scheduling, and resource allocation."
equipment_type_value,int,"This column contains a value that indicates the specific type of equipment, such as a turbine, generator, or pump, which determines its application, maintenance requirements, and performance characteristics."
manufacturer_group_value,int,"This column stores a value that represents the manufacturer or supplier group of the equipment, which can impact warranty, support, and spare parts availability."
oem_flag_value,int,"This column contains a value that indicates whether the equipment is an Original Equipment Manufacturer (OEM) product or not, which can affect maintenance, repair, and replacement policies."
original_equipment_design_value,int,"This column stores information about the original design specifications of the equipment, including its technical capabilities, performance metrics, and operational parameters."
original_equipment_manufacturer_value,int,"This column contains a value that represents the original manufacturer of the equipment, which is essential for tracing the equipments history, warranty, and support obligations."
platform_value,int,"This column stores a value that indicates the platform or product family to which the equipment belongs, which can influence its compatibility, upgrade paths, and support requirements."
product_line_value,int,"This column contains a value that represents the specific product line or series within a platform or manufacturers portfolio, which determines the equipments features, capabilities, and target applications."
sales_channel_value,int,"This column stores a value that indicates the sales channel through which the equipment was sold, such as direct sales, distributors, or partners, which can impact customer support, warranty, and maintenance services."
sub_platform_value,int,"This column contains a value that represents a subset or specialization within a broader platform, which can further refine the equipments characteristics, applications, and market positioning."
heat_rate,string,"This column stores the heat rate of the equipment, which is a measure of its energy efficiency and performance, typically expressed in terms of the amount of fuel consumed to produce a unit of electricity or power."
max_igv_angle__deg_,int,"The maximum inlet guide vane angle in degrees, which is a critical parameter for optimizing equipment performance and efficiency."
base_load_tat2_boiler_limit,int,"The base load temperature limit for the boiler at a specific operating condition, ensuring safe and efficient operation."
emissions_abatement,string,"The measures or technologies implemented to reduce emissions from the equipment, contributing to environmental sustainability and regulatory compliance."
ev_hot_gas_temperature_at_base,int,"The hot gas temperature at the base load condition, which is essential for monitoring and controlling equipment performance."
ev_hot_gas_temperature_at_part,int,"The hot gas temperature at part load conditions, providing insights into equipment behavior under varying operational scenarios."
original_capacity_min__mw_,int,"The original minimum capacity of the equipment in megawatts, serving as a reference point for tracking changes and upgrades over time."
sev_hot_gas_temperature_at_bas,int,"The severe hot gas temperature at the base load condition, indicating the equipments ability to withstand extreme operating conditions."
ev_hot_gas_temperature___liqui,int,"The hot gas temperature in the liquid phase, which is crucial for understanding equipment behavior and optimizing performance in various operational modes."
gas_fuel_tit1_temperature__c_,int,"The temperature of the first gas fuel titration point, which is vital for controlling and optimizing combustion processes."
gas_fuel_tit2_temperature__c_,int,"The temperature of the second gas fuel titration point, providing additional data for fine-tuning combustion processes and ensuring efficient equipment operation."
liquid_fuel_tit1_temperature__,int,"The temperature of the first liquid fuel titration point, which is essential for monitoring and controlling liquid fuel combustion processes."
liquid_fuel_tit2_temperature__,int,"The temperature of the second liquid fuel titration point, offering further insights into liquid fuel combustion and enabling precise control over equipment operation."
part_load_tat2_boiler_limit,int,"The part load temperature limit for the boiler, ensuring safe and efficient operation under reduced load conditions."
sev_hot_gas_temperature___liqu,int,"The severe hot gas temperature in the liquid phase, indicating the equipments capacity to handle extreme operating conditions and maintain performance."
contract_source,string,"The source or origin of the contract related to the equipment, providing context for contractual obligations and agreements."
active_lineage_indicator,string,"An indicator of whether the equipment is currently active or inactive, helping to track the status of installations and manage maintenance schedules."
er_support_level,string,"The level of support provided by the equipments manufacturer or supplier, including services such as maintenance, repairs, and troubleshooting."
ability_to_win_c,string,"The equipments capability to achieve a specific performance metric or standard, often used to evaluate its competitiveness and value proposition."
tpm_name,string,"The name of the technical product manager responsible for the equipment, serving as a point of contact for technical inquiries and support."
tpm_sso,"decimal(38,0)","The single sign-on credentials or identifier for the technical product manager, facilitating secure access to equipment-related information and systems."
plant_mission,string,"The primary objective or purpose of the plant where the equipment is installed, providing context for the equipments role and contribution to the plants overall mission."
future_plant_mission,string,"The planned or anticipated future mission of the plant, which may influence equipment upgrades, modifications, or replacements to align with changing plant objectives."
ibat_outage_status,string,"The current status of the installed base equipment regarding outages or downtime, helping to track and manage maintenance schedules and minimize downtime."
start_date,timestamp,"The date when the equipment was first installed, commissioned, or started operating, marking the beginning of its operational life."
end_date,timestamp,"The date when the equipment is scheduled to be decommissioned, replaced, or removed from service, indicating the end of its operational life."
ramp_deleted,string,"An indicator of whether the equipments ramp or startup sequence has been deleted or removed, affecting its operational readiness and startup procedures."
h2_requested_at_cod,"decimal(10,2)","The request for hydrogen fuel or services at the commercial operation date, signifying the equipments potential to operate with hydrogen or support hydrogen-related applications."
h2_capability_offered,"decimal(10,2)","The capability or feature offered by the equipment to support hydrogen operation or utilization, enhancing its versatility and value proposition in a hydrogen-based energy landscape."
purpose_of_customer_h2_request,string,"The reason or motivation behind the customers request for hydrogen fuel or services, providing insights into their operational needs and strategic objectives."
h2_source_and_means_of_delivery,string,"The source and method of delivering hydrogen fuel to the equipment, which is critical for ensuring a reliable and efficient hydrogen supply chain."
actualized_flag,string,"Indicates whether the equipment has been fully installed and is operational, providing a clear status of the equipments current state."
engine_is_lease_,string,"Determines whether the equipments engine is leased or owned, which is crucial for maintenance, warranty, and financial tracking purposes."
drm_code,string,"Represents a unique code assigned to the equipment for Digital Rights Management (DRM) purposes, ensuring secure and authorized access to the equipments technical specifications and operational data."
